DEPARTAMENTO,AÑO,NUM_HOSPITALES,NUM_TOTAL_SECTOR
Amazonas,2018,8,532
Áncash,2018,23,554
Apurímac,2018,8,485
Arequipa,2018,24,913
Ayacucho,2018,11,426
Cajamarca,2018,25,1102
Prov. Const. del Callao,2018,10,682
Cusco,2018,20,852
Huancavelica,2018,5,462
Huánuco,2018,9,369
Ica,2018,25,331
Junín,2018,28,909
La Libertad,2018,52,650
Lambayeque,2018,24,583
Lima,2018,206,7095
Lima Metropolitana,2018,195,6550
Lima Región,2018,11,545
Loreto,2018,14,586
Madre de Dios,2018,3,144
Moquegua,2018,6,108
Pasco,2018,6,288
Piura,2018,31,952
Puno,2018,25,622
San Martín,2018,17,530
Tacna,2018,6,351
Tumbes,2018,5,77
Ucayali,2018,3,256
Amazonas,2019,7,569
Áncash,2019,22,562
Apurímac,2019,8,498
Arequipa,2019,26,956
Ayacucho,2019,11,468
Cajamarca,2019,24,1147
Prov. Const. del Callao,2019,10,756
Cusco,2019,22,903
Huancavelica,2019,5,462
Huánuco,2019,9,391
Ica,2019,25,344
Junín,2019,29,953
La Libertad,2019,50,659
Lambayeque,2019,26,590
Lima,2019,213,7755
Lima Metropolitana,2019,200,7136
Lima Región,2019,13,619
Loreto,2019,12,635
Madre de Dios,2019,2,160
Moquegua,2019,6,119
Pasco,2019,7,304
Piura,2019,30,1056
Puno,2019,31,674
San Martín,2019,15,545
Tacna,2019,5,417
Tumbes,2019,5,86
Ucayali,2019,4,263
Amazonas,2020,8,589
Áncash,2020,22,571
Apurímac,2020,9,510
Arequipa,2020,28,966
Ayacucho,2020,11,493
Cajamarca,2020,24,1186
Prov. Const. del Callao,2020,10,785
Cusco,2020,22,940
Huancavelica,2020,5,466
Huánuco,2020,9,395
Ica,2020,24,354
Junín,2020,28,960
La Libertad,2020,51,663
Lambayeque,2020,27,605
Lima,2020,-,-
Lima Metropolitana,2020,204,7464
Lima Región,2020,13,638
Loreto,2020,12,651
Madre de Dios,2020,2,172
Moquegua,2020,6,127
Pasco,2020,6,312
Piura,2020,31,1084
Puno,2020,32,689
San Martín,2020,17,562
Tacna,2020,5,440
Tumbes,2020,5,89
Ucayali,2020,4,265
Amazonas,2021,8,599
Áncash,2021,21,559
Apurímac,2021,8,514
Arequipa,2021,28,913
Ayacucho,2021,11,509
Cajamarca,2021,20,1206
Prov. Const. del Callao,2021,10,743
Cusco,2021,23,1001
Huancavelica,2021,5,468
Huánuco,2021,9,404
Ica,2021,23,339
Junín,2021,27,962
La Libertad,2021,51,622
Lambayeque,2021,26,543
Lima,2021,204,7901
Lima Metropolitana,2021,190,7232
Lima Región,2021,14,669
Loreto,2021,13,656
Madre de Dios,2021,2,177
Moquegua,2021,6,124
Pasco,2021,6,322
Piura,2021,30,1091
Puno,2021,31,690
San Martín,2021,15,546
Tacna,2021,6,427
Tumbes,2021,4,88
Ucayali,2021,4,279
Amazonas,2022,8,611
Áncash,2022,22,572
Apurímac,2022,9,535
Arequipa,2022,30,940
Ayacucho,2022,11,536
Cajamarca,2022,19,1216
Prov. Const. del Callao,2022,11,772
Cusco,2022,23,1036
Huancavelica,2022,5,471
Huánuco,2022,9,406
Ica,2022,24,352
Junín,2022,27,962
La Libertad,2022,50,626
Lambayeque,2022,24,554
Lima,2022,,
Lima Metropolitana,2022,190,7260
Lima Región,2022,14,696
Loreto,2022,12,686
Madre de Dios,2022,2,175
Moquegua,2022,6,128
Pasco,2022,6,331
Piura,2022,31,1135
Puno,2022,31,695
San Martín,2022,15,561
Tacna,2022,6,428
Tumbes,2022,4,88
Ucayali,2022,5,288
