DEPARTAMENTO,AÑO,NUM_CENTROS_SALUD,NUM_PUESTOS_SALUD
Amazonas,2018,88,404
Áncash,2018,100,395
Apurímac,2018,75,354
Arequipa,2018,95,336
Ayacucho,2018,70,340
Cajamarca,2018,174,773
Prov. Const. del Callao,2018,20,145
Cusco,2018,154,283
Huancavelica,2018,72,368
Huánuco,2018,74,273
Ica,2018,47,171
Junín,2018,121,492
La Libertad,2018,141,299
Lambayeque,2018,108,189
Lima,2018,407,1192
Lima Metropolitana,2018,330,887
Lima Región,2018,77,305
Loreto,2018,115,410
Madre de Dios,2018,8,98
Moquegua,2018,26,66
Pasco,2018,33,247
Piura,2018,155,443
Puno,2018,157,410
San Martín,2018,86,330
Tacna,2018,26,88
Tumbes,2018,21,40
Ucayali,2018,38,203
Amazonas,2019,91,411
Áncash,2019,105,398
Apurímac,2019,78,358
Arequipa,2019,98,356
Ayacucho,2019,78,359
Cajamarca,2019,180,785
Prov. Const. del Callao,2019,19,145
Cusco,2019,174,290
Huancavelica,2019,73,367
Huánuco,2019,76,290
Ica,2019,43,183
Junín,2019,130,504
La Libertad,2019,146,301
Lambayeque,2019,105,196
Lima,2019,416,1347
Lima Metropolitana,2019,338,1015
Lima Región,2019,78,332
Loreto,2019,131,434
Madre de Dios,2019,8,101
Moquegua,2019,31,70
Pasco,2019,40,252
Piura,2019,171,461
Puno,2019,174,424
San Martín,2019,90,337
Tacna,2019,29,95
Tumbes,2019,23,41
Ucayali,2019,41,205
Amazonas,2020,95,416
Áncash,2020,108,402
Apurímac,2020,80,364
Arequipa,2020,99,360
Ayacucho,2020,85,363
Cajamarca,2020,184,793
Prov. Const. del Callao,2020,19,152
Cusco,2020,189,294
Huancavelica,2020,76,367
Huánuco,2020,75,294
Ica,2020,46,190
Junín,2020,133,507
La Libertad,2020,153,299
Lambayeque,2020,105,201
Lima,2020,-,-
Lima Metropolitana,2020,356,1091
Lima Región,2020,78,343
Loreto,2020,134,439
Madre de Dios,2020,11,101
Moquegua,2020,31,75
Pasco,2020,42,258
Piura,2020,176,470
Puno,2020,178,430
San Martín,2020,96,340
Tacna,2020,29,97
Tumbes,2020,23,41
Ucayali,2020,43,205
Amazonas,2021,106,417
Áncash,2021,106,396
Apurímac,2021,77,372
Arequipa,2021,101,339
Ayacucho,2021,91,370
Cajamarca,2021,187,780
Prov. Const. del Callao,2021,20,143
Cusco,2021,219,295
Huancavelica,2021,77,368
Huánuco,2021,73,298
Ica,2021,48,186
Junín,2021,139,506
La Libertad,2021,152,290
Lambayeque,2021,90,204
Lima,2021,461,1451
Lima Metropolitana,2021,373,1095
Lima Región,2021,88,356
Loreto,2021,135,444
Madre de Dios,2021,13,100
Moquegua,2021,30,76
Pasco,2021,47,261
Piura,2021,172,493
Puno,2021,182,432
San Martín,2021,92,339
Tacna,2021,29,91
Tumbes,2021,24,40
Ucayali,2021,46,213
Amazonas,2022,106,418
Áncash,2022,114,400
Apurímac,2022,84,378
Arequipa,2022,101,345
Ayacucho,2022,95,380
Cajamarca,2022,191,788
Prov. Const. del Callao,2022,19,145
Cusco,2022,236,297
Huancavelica,2022,78,370
Huánuco,2022,72,297
Ica,2022,48,199
Junín,2022,140,510
La Libertad,2022,157,297
Lambayeque,2022,97,200
Lima,2022,,
Lima Metropolitana,2022,385,1101
Lima Región,2022,93,353
Loreto,2022,140,464
Madre de Dios,2022,13,99
Moquegua,2022,31,76
Pasco,2022,56,263
Piura,2022,173,505
Puno,2022,182,435
San Martín,2022,98,339
Tacna,2022,29,95
Tumbes,2022,23,40
Ucayali,2022,51,215
